created_at;field6
2021-05-23T00:00:00+0200;9.9
2021-05-24T00:00:00+0200;-1
2021-05-25T00:00:00+0200;-1
2021-05-26T00:00:00+0200;-1
2021-05-27T00:00:00+0200;-1
2021-05-28T00:00:00+0200;-1
2021-05-29T00:00:00+0200;-1
2021-05-30T00:00:00+0200;-1
2021-05-31T00:00:00+0200;-1
2021-06-01T00:00:00+0200;23.8
2021-06-02T00:00:00+0200;30.1
2021-06-03T00:00:00+0200;30.1
2021-06-04T00:00:00+0200;27.8
2021-06-05T00:00:00+0200;25.3
2021-06-06T00:00:00+0200;20.8
2021-06-07T00:00:00+0200;22.0
2021-06-08T00:00:00+0200;26.7
2021-06-09T00:00:00+0200;29.6
2021-06-10T00:00:00+0200;30.0
2021-06-11T00:00:00+0200;30.1
2021-06-12T00:00:00+0200;25.8
2021-06-13T00:00:00+0200;26.5
2021-06-14T00:00:00+0200;30.6
2021-06-15T00:00:00+0200;33.4
2021-06-16T00:00:00+0200;35.0
2021-06-17T00:00:00+0200;37.4
2021-06-18T00:00:00+0200;36.8
2021-06-19T00:00:00+0200;36.6
2021-06-20T00:00:00+0200;31.5
2021-06-21T00:00:00+0200;26.2
2021-06-22T00:00:00+0200;25.2
2021-06-23T00:00:00+0200;29.1
2021-06-24T00:00:00+0200;23.3
2021-06-25T00:00:00+0200;26.6
2021-06-26T00:00:00+0200;29.9
2021-06-27T00:00:00+0200;30.9
2021-06-28T00:00:00+0200;32.9
2021-06-29T00:00:00+0200;30.6
2021-06-30T00:00:00+0200;23.2
2021-07-01T00:00:00+0200;18.7
2021-07-02T00:00:00+0200;25.9
2021-07-03T00:00:00+0200;30.1
2021-07-04T00:00:00+0200;27.8
2021-07-05T00:00:00+0200;23.7
2021-07-06T00:00:00+0200;24.4
2021-07-07T00:00:00+0200;28.1
2021-07-08T00:00:00+0200;26.4
2021-07-09T00:00:00+0200;23.4
2021-07-10T00:00:00+0200;27.7
2021-07-11T00:00:00+0200;24.6
2021-07-12T00:00:00+0200;28.9
2021-07-13T00:00:00+0200;23.5
2021-07-14T00:00:00+0200;20.9
2021-07-15T00:00:00+0200;26.9
2021-07-16T00:00:00+0200;28.5
2021-07-17T00:00:00+0200;29.4
2021-07-18T00:00:00+0200;31.3
2021-07-19T00:00:00+0200;29.1
2021-07-20T00:00:00+0200;27.8
2021-07-21T00:00:00+0200;29.2
2021-07-22T00:00:00+0200;29.9
2021-07-23T00:00:00+0200;31.5
2021-07-24T00:00:00+0200;29.2
2021-07-25T00:00:00+0200;31.9
2021-07-26T00:00:00+0200;29.4
2021-07-27T00:00:00+0200;28.6
2021-07-28T00:00:00+0200;26.9
2021-07-29T00:00:00+0200;26.1
2021-07-30T00:00:00+0200;30.4
2021-07-31T00:00:00+0200;26.2
2021-08-01T00:00:00+0200;27.6
2021-08-02T00:00:00+0200;24.9
2021-08-03T00:00:00+0200;22.8
2021-08-04T00:00:00+0200;21.8
2021-08-05T00:00:00+0200;26.9
2021-08-06T00:00:00+0200;25.4
2021-08-07T00:00:00+0200;23.2
2021-08-08T00:00:00+0200;24.5
2021-08-09T00:00:00+0200;24.2
2021-08-10T00:00:00+0200;27.5
2021-08-11T00:00:00+0200;28.7
2021-08-12T00:00:00+0200;29.1
2021-08-13T00:00:00+0200;32.9
2021-08-14T00:00:00+0200;32.5
2021-08-15T00:00:00+0200;31.5
2021-08-16T00:00:00+0200;23.0
2021-08-17T00:00:00+0200;19.6
2021-08-18T00:00:00+0200;22.1
2021-08-19T00:00:00+0200;23.1
2021-08-20T00:00:00+0200;27.6
2021-08-21T00:00:00+0200;29.9
2021-08-22T00:00:00+0200;24.2
2021-08-23T00:00:00+0200;23.0
2021-08-24T00:00:00+0200;23.2
2021-08-25T00:00:00+0200;25.9
2021-08-26T00:00:00+0200;21.9
2021-08-27T00:00:00+0200;18.9
2021-08-28T00:00:00+0200;21.9
2021-08-29T00:00:00+0200;16.6
2021-08-30T00:00:00+0200;19.6
2021-08-31T00:00:00+0200;24.6
2021-09-01T00:00:00+0200;9.9
2021-09-02T00:00:00+0200;9.9
2021-09-03T00:00:00+0200;29.1
2021-09-04T00:00:00+0200;29.4
2021-09-05T00:00:00+0200;29.8
2021-09-06T00:00:00+0200;30.1
2021-09-07T00:00:00+0200;29.1
2021-09-08T00:00:00+0200;30.0
2021-09-09T00:00:00+0200;30.7
2021-09-10T00:00:00+0200;26.6
2021-09-11T00:00:00+0200;25.1
2021-09-12T00:00:00+0200;26.1
2021-09-13T00:00:00+0200;27.0
2021-09-14T00:00:00+0200;29.6
2021-09-15T00:00:00+0200;22.9
2021-09-16T00:00:00+0200;20.5
2021-09-17T00:00:00+0200;21.9
2021-09-18T00:00:00+0200;25.4
2021-09-19T00:00:00+0200;20.5
